lieu;titre;adresse;ville;code_postal;code_insee
sunset & sunside;"""paris blues"" & duke ellington";60 rue des lombards;paris;75001;75101
non renseigne;l'hippodrome en famille;non renseigne;non renseigne;75000;
philharmonie de paris;cheffes et chefs de legende et d'aujourd'hui / susanna malkki;221 avenue jean jaures;paris;75019;75119
croix rouge francaise, unite locale 13e;paris 13e : ou donner des vetements a paris ?;6 place d'italie;paris;75013;75113
salle colonne;concert-eveil | les petites confidences d'amadeus;94 boulevard auguste blanqui;paris;75013;75113
le baiser sale;#jazzdedemain lucile chriqui;58 rue des lombards;paris;75001;75101
theatre du chatelet;pierre et le loup;1 place du chatelet;paris;75001;75101
patinoire d'asnieres-sur-seine - patinoire olympique des courtilles;murmuration;boulevard pierre de coubertin;asnieres;92600;92004
non renseigne;concert de lonely band + astrnne + madone;non renseigne;non renseigne;75000;
bercy village;science experiences a bercy village;23 rue des pirogues de bercy;paris;75012;75112
maison du geste et de l'image;"""fraternite/sororite""  stage theatre 15/18 ans";42 rue saint-denis;paris;75001;75101
non renseigne;les bebe concerts de l'orchestre lamoureux;non renseigne;non renseigne;75000;
centre paris anim' jemmapes;stage des p'tits filous;116, quai de jemmapes;paris;75010;75110
halle saint-pierre;expo  hey ! le dessin , ou l'energie creatrice de la contre-culture;2, rue ronsard;paris;75018;75118
theatre halle roublot;l'apero des possibles - orange au pays des angles;95 rue roublot;fontenay sous bois;94120;94033
maif social club;visites guidees adultes de lexposition  prendre la tangente ;37 rue de turenne;paris;75003;75103
bibliotheque assia djebar;les petites oreilles;1 rue reynaldo hahn;paris;75020;75120
non renseigne;formation - distribuer et diffuser son court metrage;non renseigne;non renseigne;75000;
musee guimet;carte blanche a chiharu shiota;6, place diena;paris;75016;
visite paris 15;decouverte du 15e parisien : la ceinture de paris;1 boulevard lefebvre;paris;75015;75115
non renseigne;regardezles - lancement du projet en ligne a l'occasion de  femmes en premiere ligne ;non renseigne;non renseigne;75000;
theatre bobino;la grande soiree des humoristes de demain dans le cadre du festival d'humour de paris;14-20 rue de la gaite;paris;75014;75114
le funambule montmartre;pas d'omelette sans oeuf;53 rue des saules;paris;75001;75101
bibliotheque valeyre;atelier couture : realisez votre marque-page;24 rue marguerite de rochechouart;paris;75009;75109
mediatheque jean-pierre melville;petit dejeuner musical : coups de coeur des bibliothecaires;79 rue nationale;paris;75013;75113
bibliotheque forney;jeu de piste : chicorelys ou lepopee des plantes magiques...;1 rue du figuier;paris;75004;75104
sunset & sunside;"""everyone says i love you"" & woody allen";60 rue des lombards;paris;75001;75101
centre culturel canadien;jude abu zaineh, soheila esfahani, xiaojing yan  de lart de vivre;130 rue du faubourg saint-honore;paris;75008;75108
philharmonie de paris;cheffes et chefs de legende et d'aujourd'hui / pierre boulez;221 avenue jean jaures;paris;75019;75119
l'olympia;l'heritage goldman;28 bd des capucines;paris;75009;75109
supersonic;concert au supersonic: annie hamilton  nile marr  royal casino;9 rue biscornet;paris;75012;75112
galerie de l'instant;cinema mon amour - les annees studio;46, rue de poitou;paris;75003;75103
bibliotheque valeyre;maisons du portugal;24 rue marguerite de rochechouart;paris;75009;75109
theatre halle roublot;la fete des possibles;95 rue roublot;fontenay sous bois;94120;94033
creche municipale de la folie regnault;les samedis en famille  creche de la folie regnault;65 rue de la folie regnault;paris;75011;75111
bibliotheque andree chedid;rencontre avec nicolas barral a la bibliotheque andree chedid;36 rue emeriau;paris;75015;75115
bibliotheque herge;la fanforale du douzbekistan;2 rue du departement;paris;75019;75119
mediatheque violette leduc;rencontre avec les editions maison eliza;18 rue faidherbe;paris;75011;75111
