ID;titre;chapeau;mots_cles;type_prix;date_debut;date_fin;nb_occurrences;acces_PMR;acces_mal_voyant;acces_mal_entendant;lieu;url;code_insee
20446;sieste musicale en foret nourriciere;laissez-vous envouter par le microclimat et la biodiversite de la foret nourriciere afin de vous relaxer aux sons choisis par les bibliothecaires de la mediatheques musicale de paris.;balade;gratuit;2022-06-05;2022-06-06;4;0;0;0;la ferme de paris;https://www.paris.fr/evenements/sieste-musicale-en-foret-nourriciere-20446;75112
21046;visite-conference sur la petite ceinture;" connaissez-vous la petite ceinture ferroviaire de paris ?

 peut-etre avez-vous apercu lun de ses ponts, ses rails ou la vegetation de ses talus ? ou avez-vous parcouru sa plate-forme, profitant des points de vue originaux et du calme quelle procure, et y avez ressenti limpression detre hors de la ville ?

 mais connaissez-vous son histoire ainsi que les projets la concernant ? cette visite-conference repondra a ces nombreuses questions !";balade;payant;2022-06-05;2022-06-06;2;0;0;0;la recyclerie;https://www.paris.fr/evenements/visite-conference-sur-la-petite-ceinture-21046;75118
21087;afro heaven - afro vibes party a la bellevilloise !;la soiree afro vibes de la bellevilloise (paris 20) est de retour le dimanche 5 juin veille de jour ferie !!;musique;payant;2022-06-05;2022-06-06;2;0;0;0;la bellevilloise;https://www.paris.fr/evenements/afro-heaven-afro-vibes-party-a-la-bellevilloise-21087;75120
21063;soiree de lancement - hors-serie  comment nous pourrions vivre  de socialter, au consulat;concerts, discours et utopies : le vendredi 10 juin, venez feter le lancement du nouveau hors-serie du magazine independant socialter,  comment nous pourrions vivre , avec l'ecrivaine et militante corinne morel darleux, au consulat voltaire.;conference;payant;2022-06-05;2022-06-06;2;1;0;0;le consulat;https://www.paris.fr/evenements/soiree-de-lancement-hors-serie-comment-nous-pourrions-vivre-de-socialter-au-consulat-21063;75111
21098;exposition aquarelles l'instant;"sylvia baldeva et servane pruvost nous presente une magnifique exposition d'aquarelles dans laquelle linstant present prend toute sa dimension ! 
une experience inoubliable.";peinture;gratuit;2022-06-05;2022-06-06;22;0;0;0;agape hub;https://www.paris.fr/evenements/exposition-aquarelles-l-instant-21098;75103
17323;les foulees du 12eme, un 10 km dans le bois de vincennes;les inscriptions pour les foulees du 12eme sont ouvertes. une course ecoresponsable dans le bois de vincennes, organisee pour les coureurs par les coureurs de la sam paris 12.;sport;payant;2022-06-05;2022-06-06;2;0;0;0;stade, velodrome jacques anquetil;https://www.paris.fr/evenements/17eme-edition-des-foulees-du-12eme-un-10-km-dans-le-bois-de-vincennes-17323;75112
21131;de(s)compositions alchimiques, atelier 6-12 ans;"decouvrez l'exposition de tiphaine calmettes ""soupe primordiale"" a travers un atelier de pratique artistique en compagnie de l'artiste celin jiang!";expo;gratuit;2022-06-05;2022-06-06;2;1;1;1;betonsalon - centre d'art et de recherche;https://www.paris.fr/evenements/de-s-compositions-alchimiques-atelier-6-12-ans-21131;75113
21149;assemblage-paysage, un atelier pour toutes et tous;"decouvrez l'exposition de tiphaine calmettes ""soupe primordiale"" a travers un atelier de pratique artistique en compagnie de l'artiste mathilde cameirao!";expo;gratuit;2022-06-05;2022-06-06;4;1;1;1;betonsalon - centre d'art et de recherche;https://www.paris.fr/evenements/assemblage-paysage-un-atelier-pour-toutes-et-tous-21149;75113
21154;atelier kombucha par vivien roussel, artiste, biodesigner et chercheur;"""materialite de la matiere vivante, exploration de la cellulose bacterienne"" est un atelier propose par l'artiste vivien roussel pour vous initier aux secrets du kombucha !";expo;gratuit;2022-06-05;2022-06-06;2;1;1;1;betonsalon - centre d'art et de recherche;https://www.paris.fr/evenements/atelier-kombucha-par-vivien-roussel-artiste-biodesigner-et-chercheur-21154;75113
21147;visite-soupe en compagnie de l'artiste tiphaine calmettes;lartiste tiphaine calmettes vous accueille dans son exposition  soupe primordiale  a betonsalon pour une visite guidee.;expo;gratuit;2022-06-05;2022-06-06;8;1;1;1;betonsalon - centre d'art et de recherche;https://www.paris.fr/evenements/visite-soupe-en-compagnie-de-l-artiste-tiphaine-calmettes-21147;75113
20878;auditions cem du conservatoire hector berlioz;venez assister aux auditions de fin d'annee des eleves du conservatoire hector berlioz !;musique;gratuit;2022-06-05;2022-06-06;2;1;0;0;mediatheque francoise sagan;https://www.paris.fr/evenements/auditions-cem-20878;75110
20846;les ateliers crea'clics - musique assistee par ordinateur;"le rendez-vous numerique que pour les enfants !
un programme unique pour le mois de juin ...";atelier;gratuit;2022-06-05;2022-06-06;2;1;0;0;mediatheque francoise sagan;https://www.paris.fr/evenements/les-ateliers-crea-clics-musique-assistee-par-ordinateur-20846;75110
21012;radio daisy;"imaginez de grandes boites, posees a hauteur de vue. chacune contient un decor, precis, fin, fait de perspectives et de details
mis en lumiere. le travail de la scenographe cecile lena est une invitation au voyage.";expo;gratuit;2022-06-05;2022-06-06;;0;0;0;lycee jacques-decour;https://www.paris.fr/evenements/radio-daisy-21012;75109
19902; mot pour mots , un festival litteraire a la villette;apres une premiere edition reussie en 2021, avec plus de 150 evenements qui ont mis la litterature a lhonneur le temps dun week-end, le monde, lobs, telerama et france inter organisent la deuxieme edition de  mot pour mots  les 10, 11 et 12 juin 2022 a la villette.;litterature;gratuit;2022-06-05;2022-06-06;;0;0;0;parc de la villette;https://www.paris.fr/evenements/mot-pour-mots-19902;75119
20676;open swim stars : piquez une tete dans le bassin de la villette !;la troisieme etape des open swim stars harmonie mutuelle 2022, premier circuit de nage en eau libre en france, aura lieu les 11 et 12 juin. les participants nageront dans le canal de lourcq et le bassin de la villette grace aux six epreuves de la competition.;sport;payant;2022-06-05;2022-06-06;;0;0;0;bassin de la villette;https://www.paris.fr/evenements/nagez-dans-le-canal-de-l-ourcq-et-le-bassin-de-la-villette-avec-l-open-swim-stars-harmonie-mutuelle-20676;75119
11090;atelier d'ecriture buissonnier;un moment dans la semaine, pour ecrire. en presence ou a distance en visio, l'apres-midi, de 14h a 17h.;atelier;payant;2022-06-05;2022-06-06;36;0;0;0;l'atelier sous les toits;https://www.paris.fr/evenements/atelier-d-ecriture-buissonnier-11090;75112
11412;#jazz de demain - clelya abraham;clelya abraham est la pianiste de jazz aux influences caribeennes a suivre absolument !;musique;payant;2022-06-05;2022-06-06;2;0;0;0;le baiser sale;https://www.paris.fr/evenements/jazz-de-demain-clelya-abraham-11412;75101
12220;cours de danses afro-antillaises avec musiciens live;vibrez aux sons de nos percussions.;atelier;payant;2022-06-05;2022-06-06;;0;0;0;gymnase le stadium;https://www.paris.fr/evenements/cours-de-danses-afro-antillaises-avec-musiciens-live-12220;75113
12395;philippe lancon / la musique comme preuve de vie;au fil de la saison, la philharmonie invite de grandes figures du monde artistique ou du monde des idees a porter un regard sur la musique et sinterroger sur le sens de lecoute. comment la musiq...;conference;gratuit;2022-06-05;2022-06-06;2;0;0;0;philharmonie de paris;https://www.paris.fr/evenements/philippe-lancon-la-musique-comme-preuve-de-vie-12395;75119
13029;accompagnement scolaire (ecole elementaire);1 fois par semaine, un moment pour avoir de l'aide pour apprendre a organiser son travail d'ecolier.;atelier;gratuit;2022-06-05;2022-06-06;;0;0;0;centre paris anim'  richard wright ex rue de rennes;https://www.paris.fr/evenements/accompagnement-scolaire-ecole-elementaire-13029;75106
